,,, no2, no2, no2
2017,7,Jungang-Way,5.0,9.0,7.090909090909091
2017,7,Juwol-Dong,6.0,13.0,9.625
2017,7,Nowon-Gu,16.0,26.0,21.625
2017,7,Pado-Ri,1.0,9.0,4.125
2017,7,Seolseong-Myeon,5.0,9.0,6.375
2017,8,Geumchon-Dong,10.0,10.0,10.0
2017,8,Gwanak-Gu,11.0,35.0,21.75
2017,8,Jungang-Way,4.0,9.0,6.0
2017,8,Pado-Ri,3.0,10.0,6.5
2017,8,Seolseong-Myeon,7.0,9.0,8.0
2017,9,Bangsan-Myeon,1.0,4.0,2.5
2017,9,Geumchon-Dong,12.0,23.0,18.875
2017,9,Gwanak-Gu,12.0,33.0,21.25
2017,9,Jeongnim-Dong,7.0,20.0,13.5
2017,9,Jungang-Way,7.0,15.0,11.375
2017,9,Juwol-Dong,13.0,25.0,19.375
2017,9,Nowon-Gu,11.0,38.0,28.625
2017,9,Pado-Ri,4.0,6.0,5.0
2017,9,Paju,2.0,12.0,5.0
2017,9,Seolseong-Myeon,8.0,11.0,9.5
2017,10,Bangsan-Myeon,1.0,8.0,1.967741935483871
2017,10,Geumchon-Dong,7.0,29.0,17.29032258064516
2017,10,Gwanak-Gu,8.0,49.0,24.903225806451612
2017,10,Jeongnim-Dong,6.0,33.0,16.06451612903226
2017,10,Jungang-Way,4.0,25.0,11.67741935483871
2017,10,Juwol-Dong,8.0,42.0,20.225806451612904
2017,10,Nowon-Gu,7.0,45.0,24.612903225806452
2017,10,Pado-Ri,,,
2017,10,Paju,2.0,13.0,3.838709677419355
2017,10,Seolseong-Myeon,6.0,21.0,12.225806451612904
2017,11,Bangsan-Myeon,1.0,10.0,4.4
2017,11,Geumchon-Dong,12.0,53.0,26.266666666666666
2017,11,Gwanak-Gu,12.0,61.0,32.7
2017,11,Jeongnim-Dong,14.0,33.0,21.133333333333333
2017,11,Jungang-Way,9.0,34.0,20.566666666666666
2017,11,Juwol-Dong,12.0,51.0,30.233333333333334
2017,11,Nowon-Gu,11.0,64.0,31.333333333333332
2017,11,Paju,2.0,23.0,7.1
2017,11,Seolseong-Myeon,5.0,23.0,14.266666666666667
2017,12,Bangsan-Myeon,3.0,11.0,5.516129032258065
2017,12,Geumchon-Dong,12.0,57.0,29.774193548387096
2017,12,Gwanak-Gu,15.0,51.0,32.17391304347826
2017,12,Jeongnim-Dong,11.0,42.0,22.193548387096776
2017,12,Jungang-Way,3.0,42.0,22.612903225806452
2017,12,Juwol-Dong,11.0,51.0,29.258064516129032
2017,12,Nowon-Gu,9.0,65.0,33.193548387096776
2017,12,Pado-Ri,2.0,13.0,5.625
2017,12,Paju,1.0,27.0,10.96774193548387
2017,12,Seolseong-Myeon,6.0,34.0,16.0
2018,1,Bangsan-Myeon,3.0,13.0,5.806451612903226
2018,1,Geumchon-Dong,13.0,40.0,26.838709677419356
2018,1,Gwanak-Gu,16.0,77.0,35.516129032258064
2018,1,Jeongnim-Dong,13.0,38.0,24.322580645161292
2018,1,Jungang-Way,7.0,41.0,23.64516129032258
2018,1,Juwol-Dong,13.0,58.0,28.93548387096774
2018,1,Nowon-Gu,10.0,67.0,31.096774193548388
2018,1,Pado-Ri,1.0,46.0,7.225806451612903
2018,1,Paju,1.0,21.0,7.064516129032258
2018,1,Seolseong-Myeon,7.0,31.0,18.64516129032258
2018,2,Bangsan-Myeon,2.0,12.0,4.571428571428571
2018,2,Geumchon-Dong,11.0,63.0,24.785714285714285
2018,2,Gwanak-Gu,16.0,77.0,34.17857142857143
2018,2,Jeongnim-Dong,10.0,41.0,21.964285714285715
2018,2,Jungang-Way,3.0,40.0,16.357142857142858
2018,2,Juwol-Dong,11.0,65.0,27.535714285714285
2018,2,Nowon-Gu,10.0,79.0,28.321428571428573
2018,2,Pado-Ri,1.0,22.0,5.666666666666667
2018,2,Paju,1.0,24.0,5.607142857142857
2018,2,Sangjusi,4.0,21.0,15.4
2018,2,Seolseong-Myeon,5.0,37.0,13.821428571428571
2018,2,Seonggeoeup,13.0,45.0,26.6
2018,3,Bangsan-Myeon,1.0,11.0,4.666666666666667
2018,3,Geumchon-Dong,9.0,40.0,22.35483870967742
2018,3,Gwanak-Gu,13.0,71.0,33.903225806451616
2018,3,Jeongnim-Dong,7.0,26.0,17.258064516129032
2018,3,Jungang-Way,8.0,29.0,16.967741935483872
2018,3,Juwol-Dong,11.0,39.0,22.967741935483872
2018,3,Nowon-Gu,8.0,53.0,30.0
2018,3,Pado-Ri,1.0,13.0,4.225806451612903
2018,3,Paju,2.0,14.0,7.7
2018,3,Sangjusi,5.0,20.0,10.935483870967742
2018,3,Seolseong-Myeon,3.0,17.0,9.225806451612904
2018,3,Seonggeoeup,10.0,28.0,18.903225806451612
2018,4,Bangsan-Myeon,1.0,8.0,4.566666666666666
2018,4,Geumchon-Dong,8.0,30.0,17.8
2018,4,Gwanak-Gu,14.0,60.0,32.3
2018,4,Jeongnim-Dong,6.0,20.0,12.666666666666666
2018,4,Jungang-Way,4.0,20.0,11.933333333333334
2018,4,Juwol-Dong,7.0,32.0,19.0
2018,4,Nowon-Gu,10.0,54.0,26.4
2018,4,Pado-Ri,1.0,9.0,3.9
2018,4,Paju,2.0,11.0,5.333333333333333
2018,4,Sangjusi,4.0,16.0,9.066666666666666
2018,4,Seolseong-Myeon,4.0,16.0,8.966666666666667
2018,4,Seonggeoeup,8.0,31.0,18.0
2018,5,Bangsan-Myeon,3.0,7.0,4.233333333333333
2018,5,Geumchon-Dong,8.0,28.0,14.67741935483871
2018,5,Gwanak-Gu,15.0,45.0,24.612903225806452
2018,5,Jeongnim-Dong,5.0,18.0,10.32258064516129
2018,5,Jungang-Way,5.0,17.0,10.806451612903226
2018,5,Juwol-Dong,5.0,28.0,14.612903225806452
2018,5,Nowon-Gu,9.0,38.0,21.0
2018,5,Pado-Ri,1.0,10.0,4.161290322580645
2018,5,Paju,1.0,8.0,3.806451612903226
2018,5,Sangjusi,4.0,15.0,7.806451612903226
2018,5,Seolseong-Myeon,2.0,17.0,5.516129032258065
2018,5,Seonggeoeup,6.0,20.0,14.709677419354838
2018,6,Bangsan-Myeon,3.0,6.0,4.137931034482759
2018,6,Geumchon-Dong,6.0,20.0,12.633333333333333
2018,6,Gwanak-Gu,12.0,35.0,25.0
2018,6,Jeongnim-Dong,5.0,17.0,10.1
2018,6,Jungang-Way,3.0,14.0,8.966666666666667
2018,6,Juwol-Dong,5.0,23.0,13.2
2018,6,Nowon-Gu,6.0,31.0,18.0
2018,6,Pado-Ri,1.0,11.0,4.866666666666666
2018,6,Paju,1.0,5.0,2.533333333333333
2018,6,Sangjusi,3.0,15.0,6.966666666666667
2018,6,Seolseong-Myeon,2.0,11.0,6.266666666666667
2018,6,Seonggeoeup,2.0,23.0,12.033333333333333
2018,7,Bangsan-Myeon,2.0,4.0,2.5517241379310347
2018,7,Geumchon-Dong,6.0,18.0,9.483870967741936
2018,7,Gwanak-Gu,11.0,35.0,20.096774193548388
2018,7,Jeongnim-Dong,4.0,14.0,8.903225806451612
2018,7,Jungang-Way,1.0,15.0,7.709677419354839
2018,7,Juwol-Dong,4.0,16.0,8.290322580645162
2018,7,Nowon-Gu,5.0,21.0,13.580645161290322
2018,7,Pado-Ri,1.0,13.0,5.483870967741935
2018,7,Paju,1.0,10.0,2.129032258064516
2018,7,Sangjusi,2.0,8.0,5.193548387096774
2018,7,Seolseong-Myeon,1.0,10.0,4.741935483870968
2018,7,Seonggeoeup,4.0,17.0,10.612903225806452
2018,8,Bangsan-Myeon,2.0,4.0,2.5483870967741935
2018,8,Geumchon-Dong,5.0,16.0,10.033333333333333
2018,8,Gwanak-Gu,11.0,26.0,18.419354838709676
2018,8,Jeongnim-Dong,4.0,12.0,7.67741935483871
2018,8,Jungang-Way,4.0,13.0,7.4
2018,8,Juwol-Dong,2.0,18.0,8.64516129032258
2018,8,Nowon-Gu,5.0,16.0,10.903225806451612
2018,8,Pado-Ri,2.0,10.0,5.645161290322581
2018,8,Paju,1.0,7.0,2.5806451612903225
2018,8,Sangjusi,3.0,12.0,7.066666666666666
2018,8,Seolseong-Myeon,1.0,10.0,4.32258064516129
2018,8,Seonggeoeup,6.0,17.0,11.03225806451613
2018,9,Bangsan-Myeon,2.0,4.0,2.3
2018,9,Geumchon-Dong,6.0,19.0,11.724137931034482
2018,9,Gwanak-Gu,8.0,42.0,19.482758620689655
2018,9,Jeongnim-Dong,2.0,13.0,6.4
2018,9,Jungang-Way,5.0,12.0,8.233333333333333
2018,9,Juwol-Dong,7.0,23.0,13.533333333333333
2018,9,Nowon-Gu,7.0,27.0,14.03448275862069
2018,9,Pado-Ri,2.0,7.0,4.033333333333333
2018,9,Paju,1.0,6.0,2.033333333333333
2018,9,Sangjusi,5.0,13.0,7.7
2018,9,Seolseong-Myeon,3.0,12.0,5.9
2018,9,Seonggeoeup,5.0,14.0,11.066666666666666
2018,10,Bangsan-Myeon,1.0,6.0,3.3870967741935485
2018,10,Geumchon-Dong,9.0,35.0,19.193548387096776
2018,10,Gwanak-Gu,12.0,53.0,31.096774193548388
2018,10,Jeongnim-Dong,8.0,23.0,15.483870967741936
2018,10,Jungang-Way,6.0,30.0,17.483870967741936
2018,10,Juwol-Dong,10.0,34.0,23.161290322580644
2018,10,Nowon-Gu,8.0,44.0,24.516129032258064
2018,10,Pado-Ri,1.0,9.0,3.806451612903226
2018,10,Paju,1.0,9.0,3.032258064516129
2018,10,Sangjusi,4.0,18.0,11.258064516129032
2018,10,Seolseong-Myeon,2.0,12.0,7.806451612903226
2018,10,Seonggeoeup,8.0,31.0,19.20689655172414
2018,11,Bangsan-Myeon,4.0,9.0,5.5
2018,11,Geumchon-Dong,16.0,39.0,27.566666666666666
2018,11,Gwanak-Gu,17.0,67.0,41.266666666666666
2018,11,Jeongnim-Dong,15.0,36.0,24.733333333333334
2018,11,Jungang-Way,9.0,35.0,25.066666666666666
2018,11,Juwol-Dong,14.0,48.0,35.166666666666664
2018,11,Nowon-Gu,14.0,56.0,34.233333333333334
2018,11,Pado-Ri,2.0,19.0,6.033333333333333
2018,11,Paju,2.0,11.0,4.433333333333334
2018,11,Sangjusi,10.0,25.0,17.666666666666668
2018,11,Seolseong-Myeon,6.0,27.0,15.5
2018,11,Seonggeoeup,19.0,45.0,29.333333333333332
2018,12,Bangsan-Myeon,3.0,9.0,5.827586206896552
2018,12,Geumchon-Dong,11.0,42.0,26.321428571428573
2018,12,Gwanak-Gu,15.0,72.0,38.0
2018,12,Jeongnim-Dong,8.0,35.0,21.714285714285715
2018,12,Jungang-Way,5.0,43.0,24.857142857142858
2018,12,Juwol-Dong,9.0,66.0,27.142857142857142
2018,12,Nowon-Gu,9.0,60.0,31.678571428571427
2018,12,Pado-Ri,1.0,24.0,6.678571428571429
2018,12,Paju,1.0,17.0,5.678571428571429
2018,12,Sangjusi,6.0,33.0,15.928571428571429
2018,12,Seolseong-Myeon,6.0,35.0,18.035714285714285
2018,12,Seonggeoeup,13.0,52.0,26.607142857142858
2019,1,Bangsan-Myeon,3.0,15.0,6.967741935483871
2019,1,Geumchon-Dong,18.0,46.0,31.483870967741936
2019,1,Gwanak-Gu,19.0,73.0,43.774193548387096
2019,1,Jeongnim-Dong,12.0,30.0,20.903225806451612
2019,1,Jungang-Way,11.0,42.0,26.06451612903226
2019,1,Juwol-Dong,13.0,48.0,29.451612903225808
2019,1,Nowon-Gu,14.0,65.0,37.32258064516129
2019,1,Pado-Ri,1.0,13.0,4.645161290322581
2019,1,Paju,1.0,16.0,7.032258064516129
2019,1,Sangjusi,7.0,26.0,14.96774193548387
2019,1,Seolseong-Myeon,8.0,34.0,18.258064516129032
2019,1,Seonggeoeup,16.0,42.0,26.93548387096774
2019,2,Bangsan-Myeon,4.0,10.0,5.964285714285714
2019,2,Geumchon-Dong,12.0,41.0,25.428571428571427
2019,2,Gwanak-Gu,17.0,61.0,39.285714285714285
2019,2,Jeongnim-Dong,12.0,41.0,22.607142857142858
2019,2,Jungang-Way,8.0,27.0,16.642857142857142
2019,2,Juwol-Dong,11.0,38.0,24.928571428571427
2019,2,Nowon-Gu,12.0,48.0,31.535714285714285
2019,2,Pado-Ri,1.0,15.0,5.107142857142857
2019,2,Paju,1.0,16.0,5.035714285714286
2019,2,Sangjusi,6.0,21.0,13.821428571428571
2019,2,Seolseong-Myeon,5.0,25.0,14.607142857142858
2019,2,Seonggeoeup,10.0,36.0,22.964285714285715
2019,3,Bangsan-Myeon,3.0,24.0,9.758620689655173
2019,3,Geumchon-Dong,13.0,37.0,23.7
2019,3,Gwanak-Gu,11.0,64.0,29.933333333333334
2019,3,Hwasun-Eup,5.0,19.0,12.333333333333334
2019,3,Jeongnim-Dong,8.0,34.0,18.733333333333334
2019,3,Jungang-Way,7.0,30.0,15.7
2019,3,Juwol-Dong,9.0,42.0,24.366666666666667
2019,3,Nowon-Gu,11.0,53.0,30.033333333333335
2019,3,Pado-Ri,1.0,15.0,4.733333333333333
2019,3,Paju,2.0,18.0,6.833333333333333
2019,3,Sangjusi,5.0,23.0,12.1
2019,3,Seolseong-Myeon,3.0,18.0,10.233333333333333
2019,3,Seonggeoeup,7.0,38.0,22.933333333333334
2019,4,Bangsan-Myeon,1.0,16.0,5.379310344827586
2019,4,Geumchon-Dong,11.0,29.0,20.466666666666665
2019,4,Gwanak-Gu,18.0,45.0,27.733333333333334
2019,4,Hwasun-Eup,7.0,19.0,11.966666666666667
2019,4,Jeongnim-Dong,11.0,25.0,15.533333333333333
2019,4,Jungang-Way,7.0,22.0,13.366666666666667
2019,4,Juwol-Dong,11.0,33.0,21.766666666666666
2019,4,Nowon-Gu,14.0,44.0,25.066666666666666
2019,4,Pado-Ri,4.0,16.0,7.133333333333334
2019,4,Paju,2.0,10.0,4.966666666666667
2019,4,Sangjusi,6.0,17.0,9.8
2019,4,Seolseong-Myeon,4.0,14.0,8.166666666666666
2019,4,Seonggeoeup,13.0,27.0,18.9
2019,5,Bangsan-Myeon,2.0,5.0,3.096774193548387
2019,5,Geumchon-Dong,9.0,28.0,17.70967741935484
2019,5,Gwanak-Gu,11.0,52.0,25.677419354838708
2019,5,Hwasun-Eup,4.0,13.0,9.580645161290322
2019,5,Jeongnim-Dong,7.0,19.0,11.935483870967742
2019,5,Jungang-Way,5.0,21.0,11.241379310344827
2019,5,Juwol-Dong,8.0,35.0,19.741935483870968
2019,5,Nowon-Gu,8.0,42.0,24.35483870967742
2019,5,Pado-Ri,2.0,10.0,5.548387096774194
2019,5,Paju,2.0,8.0,4.548387096774194
2019,5,Sangjusi,5.0,14.0,8.741935483870968
2019,5,Seolseong-Myeon,4.0,13.0,8.806451612903226
2019,5,Seonggeoeup,5.0,28.0,17.06451612903226
2019,6,Bangsan-Myeon,1.0,6.0,2.4482758620689653
2019,6,Geumchon-Dong,7.0,20.0,11.793103448275861
2019,6,Gwanak-Gu,9.0,36.0,20.379310344827587
2019,6,Hwasun-Eup,5.0,13.0,7.172413793103448
2019,6,Jeongnim-Dong,6.0,16.0,9.89655172413793
2019,6,Jungang-Way,6.0,16.0,10.068965517241379
2019,6,Juwol-Dong,8.0,27.0,14.482758620689655
2019,6,Nowon-Gu,8.0,26.0,16.17241379310345
2019,6,Pado-Ri,3.0,13.0,6.758620689655173
2019,6,Paju,1.0,4.0,2.6551724137931036
2019,6,Sangjusi,4.0,13.0,7.724137931034483
2019,6,Seolseong-Myeon,5.0,12.0,7.448275862068965
2019,6,Seonggeoeup,8.0,22.0,14.137931034482758
2019,7,Bangsan-Myeon,1.0,2.0,1.1379310344827587
2019,7,Geumchon-Dong,6.0,19.0,11.451612903225806
2019,7,Gwanak-Gu,9.0,32.0,17.419354838709676
2019,7,Hwasun-Eup,3.0,9.0,5.741935483870968
2019,7,Jeongnim-Dong,1.0,13.0,6.32258064516129
2019,7,Jungang-Way,1.0,8.0,5.290322580645161
2019,7,Juwol-Dong,4.0,19.0,10.483870967741936
2019,7,Nowon-Gu,3.0,23.0,14.548387096774194
2019,7,Pado-Ri,2.0,10.0,4.935483870967742
2019,7,Paju,2.0,6.0,2.933333333333333
2019,7,Sangjusi,4.0,12.0,7.032258064516129
2019,7,Seolseong-Myeon,4.0,12.0,7.0
2019,7,Seonggeoeup,4.0,18.0,10.387096774193548
2019,8,Bangsan-Myeon,1.0,1.0,1.0
2019,8,Geumchon-Dong,6.0,21.0,11.35483870967742
2019,8,Gwanak-Gu,10.0,27.0,17.612903225806452
2019,8,Hwasun-Eup,5.0,8.0,6.580645161290323
2019,8,Jeongnim-Dong,1.0,11.0,5.064516129032258
2019,8,Jungang-Way,1.0,8.0,4.482758620689655
2019,8,Juwol-Dong,4.0,19.0,11.935483870967742
2019,8,Nowon-Gu,4.0,21.0,13.838709677419354
2019,8,Pado-Ri,2.0,9.0,5.516129032258065
2019,8,Paju,1.0,5.0,2.3870967741935485
2019,8,Sangjusi,2.0,9.0,6.133333333333334
2019,8,Seolseong-Myeon,2.0,8.0,4.645161290322581
2019,8,Seonggeoeup,7.0,16.0,11.290322580645162
2019,9,Bangsan-Myeon,1.0,1.0,1.0
2019,9,Geumchon-Dong,3.0,21.0,11.933333333333334
2019,9,Gwanak-Gu,22.0,30.0,26.0
2019,9,Hwasun-Eup,2.0,9.0,6.4
2019,9,Jeongnim-Dong,3.0,17.0,9.566666666666666
2019,9,Jungang-Way,4.0,11.0,7.766666666666667
2019,9,Juwol-Dong,5.0,27.0,14.166666666666666
2019,9,Nowon-Gu,2.0,21.0,12.5
2019,9,Pado-Ri,2.0,10.0,4.5
2019,9,Paju,1.0,9.0,3.1333333333333333
2019,9,Sangjusi,2.0,13.0,7.966666666666667
2019,9,Seolseong-Myeon,1.0,13.0,6.666666666666667
2019,9,Seonggeoeup,4.0,20.0,11.8
2019,10,Bangsan-Myeon,1.0,3.0,1.3571428571428572
2019,10,Geumchon-Dong,7.0,26.0,15.096774193548388
2019,10,Gwanak-Gu,9.0,31.0,17.612903225806452
2019,10,Hwasun-Eup,3.0,17.0,9.838709677419354
2019,10,Jeongnim-Dong,6.0,24.0,13.0
2019,10,Jungang-Way,5.0,19.0,11.193548387096774
2019,10,Juwol-Dong,10.0,43.0,21.225806451612904
2019,10,Nowon-Gu,6.0,21.0,12.35483870967742
2019,10,Pado-Ri,1.0,9.0,4.193548387096774
2019,10,Paju,1.0,9.0,2.6451612903225805
2019,10,Sangjusi,4.0,14.0,10.161290322580646
2019,10,Seolseong-Myeon,3.0,16.0,8.774193548387096
2019,10,Seonggeoeup,7.0,27.0,16.258064516129032
2019,11,Bangsan-Myeon,1.0,6.0,2.7037037037037037
2019,11,Geumchon-Dong,11.0,36.0,24.17241379310345
2019,11,Gwanak-Gu,15.0,54.0,33.689655172413794
2019,11,Hwasun-Eup,5.0,20.0,13.344827586206897
2019,11,Jeongnim-Dong,10.0,31.0,19.24137931034483
2019,11,Jungang-Way,8.0,33.0,21.79310344827586
2019,11,Juwol-Dong,9.0,42.0,27.137931034482758
2019,11,Nowon-Gu,3.0,46.0,21.344827586206897
2019,11,Pado-Ri,1.0,22.0,6.103448275862069
2019,11,Paju,2.0,15.0,6.689655172413793
2019,11,Sangjusi,6.0,23.0,15.448275862068966
2019,11,Seolseong-Myeon,5.0,27.0,16.620689655172413
2019,11,Seonggeoeup,12.0,34.0,24.5
2019,12,Bangsan-Myeon,1.0,7.0,3.0
2019,12,Cheongnim-Dong,12.0,47.0,23.714285714285715
2019,12,Geumchon-Dong,15.0,40.0,28.0
2019,12,Gwanak-Gu,17.0,53.0,36.206896551724135
2019,12,Hwasun-Eup,6.0,27.0,15.689655172413794
2019,12,Jeongnim-Dong,10.0,33.0,21.96551724137931
2019,12,Jungang-Way,7.0,31.0,19.137931034482758
2019,12,Juwol-Dong,15.0,58.0,31.93103448275862
2019,12,Nowon-Gu,10.0,59.0,32.6551724137931
2019,12,Pado-Ri,1.0,9.0,3.2758620689655173
2019,12,Paju,1.0,16.0,8.206896551724139
2019,12,Sangjusi,7.0,26.0,16.620689655172413
2019,12,Seolseong-Myeon,5.0,26.0,16.551724137931036
2019,12,Seonggeoeup,16.0,29.0,20.82758620689655
2020,1,Bangsan-Myeon,1.0,3.0,1.3333333333333333
2020,1,Cheongnim-Dong,11.0,34.0,20.0
2020,1,Geumchon-Dong,7.0,36.0,25.225806451612904
2020,1,Gwanak-Gu,14.0,57.0,36.12903225806452
2020,1,Hwasun-Eup,6.0,24.0,14.225806451612904
2020,1,Jeongnim-Dong,9.0,34.0,21.032258064516128
2020,1,Jungang-Way,3.0,24.0,16.161290322580644
2020,1,Juwol-Dong,13.0,43.0,26.70967741935484
2020,1,Nowon-Gu,7.0,45.0,30.322580645161292
2020,1,Pado-Ri,1.0,17.0,3.4
2020,1,Paju,1.0,9.0,3.5806451612903225
2020,1,Sangjusi,6.0,33.0,15.806451612903226
2020,1,Seolseong-Myeon,1.0,27.0,12.709677419354838
2020,1,Seonggeoeup,6.0,32.0,19.70967741935484
2020,2,Bangsan-Myeon,1.0,4.0,1.5714285714285714
2020,2,Cheongnim-Dong,12.0,28.0,18.275862068965516
2020,2,Geumchon-Dong,11.0,41.0,21.655172413793103
2020,2,Gwanak-Gu,14.0,59.0,33.37931034482759
2020,2,Hwasun-Eup,4.0,19.0,12.241379310344827
2020,2,Jeongnim-Dong,7.0,27.0,16.75862068965517
2020,2,Jungang-Way,4.0,37.0,16.896551724137932
2020,2,Juwol-Dong,7.0,47.0,20.137931034482758
2020,2,Nowon-Gu,9.0,52.0,27.0
2020,2,Pado-Ri,1.0,15.0,4.0344827586206895
2020,2,Paju,1.0,14.0,4.620689655172414
2020,2,Sangjusi,4.0,27.0,12.379310344827585
2020,2,Seolseong-Myeon,2.0,25.0,9.413793103448276
2020,2,Seonggeoeup,9.0,29.0,17.413793103448278
2020,3,Bangsan-Myeon,1.0,5.0,1.7586206896551724
2020,3,Cheongnim-Dong,15.0,28.0,19.419354838709676
2020,3,Geumchon-Dong,9.0,35.0,19.310344827586206
2020,3,Gwanak-Gu,11.0,59.0,27.93103448275862
2020,3,Hwasun-Eup,5.0,15.0,9.225806451612904
2020,3,Jeongnim-Dong,7.0,22.0,12.620689655172415
2020,3,Jungang-Way,6.0,19.0,12.0
2020,3,Juwol-Dong,9.0,38.0,18.24137931034483
2020,3,Nowon-Gu,6.0,42.0,21.06896551724138
2020,3,Pado-Ri,1.0,12.0,3.206896551724138
2020,3,Paju,1.0,14.0,5.290322580645161
2020,3,Sangjusi,4.0,18.0,10.129032258064516
2020,3,Seolseong-Myeon,3.0,14.0,7.275862068965517
2020,3,Seonggeoeup,8.0,32.0,16.258064516129032
2020,4,Bangsan-Myeon,1.0,2.0,1.2142857142857142
2020,4,Cheongnim-Dong,10.0,24.0,17.466666666666665
2020,4,Geumchon-Dong,7.0,24.0,15.133333333333333
2020,4,Gwanak-Gu,9.0,37.0,20.433333333333334
2020,4,Hwasun-Eup,4.0,11.0,8.2
2020,4,Jeongnim-Dong,4.0,11.0,7.533333333333333
2020,4,Jungang-Way,1.0,13.0,7.866666666666666
2020,4,Juwol-Dong,4.0,26.0,15.866666666666667
2020,4,Nowon-Gu,6.0,32.0,18.1
2020,4,Pado-Ri,1.0,7.0,2.7
